       #NI      #im       #nc       #ic                                                      #SMILES
        7   000445         1      7844                                                  CC(C=O)N.CO
        7   000446        69      7913                                                  CC(C=O)NC=O
        7   000447         7      7920                                                 CC(CC(=O)N)O
        7   000448         7      7927                                                   CC(CNC=O)O
        7   000449         5      7932                                                 CC.CC(=C)C=C
        7   000450         3      7935                                                  CC.CC(=O)NC
        7   000451         1      7936                                                  CC.CC(C=O)N
        7   000452        16      7952                                                   CC.CC.CC=C
        7   000453       149      8101                                                   CC.CC.CC=O
        7   000454        28      8129                                                    CC.CC.CCC
        7   000455         4      8133                                                    CC.CC.CCN
        7   000456         1      8134                                                    CC.CC.CCO
        7   000457         4      8138                                                    CC.CC.CSC
        7   000458         2      8140                                                   CC.CC=C.CN
        7   000459         2      8142                                                   CC.CC=C.CO
        7   000460         4      8146                                                   CC.CC=CC=C
        7   000461        48      8194                                                   CC.CC=O.CN
        7   000462        13      8207                                                   CC.CC=O.CO
        7   000463         1      8208                                                  CC.CCC(=O)N
        7   000464         2      8210                                                  CC.CCC(=O)O
        7   000465         2      8212                                                   CC.CCC(C)C
        7   000466         2      8214                                                    CC.CCC.CN
        7   000467         2      8216                                                    CC.CCC.CS
        7   000468         2      8218                                                    CC.CCCC=O
        7   000469         1      8219                                                     CC.CCCCC
        7   000470         4      8223                                                     CC.CCCCN
        7   000471         3      8226                                                    CC.CCNC=O
        7   000472         1      8227                                                   CC=C.CCC=O
        7   000473         5      8232                                                   CC=C.CNC=O
        7   000474         5      8237                                                   CC=O.CCC=O
        7   000475         2      8239                                                    CC=O.CCCC
        7   000476         7      8246                                                    CC=O.CCCN
        7   000477         3      8249                                                   CC=O.CN.CN
        7   000478         6      8255                                                   CC=O.CN.CO
        7   000479        54      8309                                                   CC=O.CNC=O
        7   000480         3      8312                                                   CC=O.CO.CO
        7   000481         3      8315                                                 CCC(=O)N(C)C
        7   000482        68      8383                                                   CCC(=O)NCC
        7   000483         1      8384                                                  CCC(=O)O.CN
        7   000484        62      8446                                                 CCC(C(=O)N)N
        7   000485         7      8453                                                   CCC(C)CC=O
        7   000486         7      8460                                                    CCC.CCC=O
        7   000487        12      8472                                                     CCC.CCCC
        7   000488         3      8475                                                     CCC.CCCN
        7   000489        18      8493                                                    CCC.CNC=O
        7   000490         2      8495                                                    CCC=CC=CO
        7   000491         8      8503                                                    CCC=O.CCN
        7   000492         2      8505                                                    CCC=O.CCO
        7   000493        69      8574                                                   CCCC(=O)NC
        7   000494        36      8610                                                   CCCC(C=O)N
        7   000495         1      8611                                                     CCCC.CCO
        7   000496        36      8647                                                   CCCCC(=O)N
        7   000497         7      8654                                                     CCCCCC=O
        7   000498         4      8658                                                     CCCCNC=N
        7   000499        36      8694                                                     CCCCNC=O
        7   000500         1      8695                                                     CCCN.CCO
        7   000501         4      8699                                                   CCCNC(=N)N
        7   000502        61      8760                                                   CCCNC(=O)C
        7   000503         1      8761                                                    CCN.CN.CO
        7   000504        15      8776                                                    CCN.CNC=O
        7   000505         1      8777                                                    CCN.CO.CO
        7   000506        72      8849                                                   CCNC(=O)CN
        7   000507         4      8853                                                    CCO.CNC=O
        7   000508         1      8854                                                 CCc1cnc[nH]1
        7   000509         3      8857                                                 CN(C)C(=O)CN
        7   000510         3      8860                                                  CN(CC=O)C=O
        7   000511        10      8870                                                   CNC(=O)CCO
        7   000512         4      8874                                                   CNCC(=O)NC
        7   000513         1      8875                                                     CSCCCC=O
        7   000514         3      8878                                                    Cc1ccccc1
        7   000515         1      8879                                                  c1ccc(cc1)O
