       #NI      #im       #nc       #ic                                                      #SMILES
        7   000297         2      1039                                                   CC=O.CN.CO
        7   000298         7      1046                                                   CC=O.CNC=O
        7   000299         2      1048                                                   CC=O.CO.CO
        7   000300         1      1049                                                 CCC(=O)N(C)C
        7   000301         6      1055                                                   CCC(=O)NCC
        7   000302         3      1058                                                 CCC(C(=O)N)N
        7   000303         2      1060                                                    CCC=CC=CO
        7   000304         1      1061                                                    CCC=O.CCO
        7   000305         4      1065                                                   CCCC(=O)NC
        7   000306         3      1068                                                   CCCNC(=O)C
        7   000307         2      1070                                                    CCN.CNC=O
        7   000308         8      1078                                                   CCNC(=O)CN
        7   000309         1      1079                                                 CCc1cc[nH]c1
        7   000310         1      1080                                                 CN(C)C(=O)CN
        7   000311         1      1081                                                  CN(CC=O)C=O
        7   000312         2      1083                                                   CNC(=O)CCO
        7   000313         1      1084                                                   CNCC(=O)NC
        7   000314         1      1085                                                    Cc1ccccc1
        7   000315         1      1086                                                  c1ccc(cc1)N
        7   000316         1      1087                                                  c1ccc(cc1)O
